ticker,shares
A,281928854.0
AAPL,14594180000.0
ABBV,1767117285.0
ABNB,589585682.0
ABT,1730383296.0
ACGL,341229126.0
ACN,611942109.0
ADBE,397500000.0
ADI,484565465.0
ADM,481956527.0
ADP,397262737.0
ADSK,209000000.0
AEE,276843251.0
AEP,544397352.0
AES,713157713.0
AFL,501343298.0
AIG,522893169.0
AIZ,49323767.0
AJG,256341000.0
AKAM,143716609.0
ALB,118005057.0
ALGN,71039852.0
ALL,252857950.0
ALLE,85036786.0
AMAT,793597443.0
AMCR,462345690.0
AMD,1632475042.0
AME,229261244.0
AMGN,540632005.0
AMP,88333219.0
AMT,465960048.0
AMZN,10786313572.0
ANET,1261224648.0
AON,212125434.0
AOS,135908573.0
APA,350351510.0
APD,222685530.0
APH,2465966914.0
APO,590543159.0
APP,335939521.0
APTV,207633331.0
ARE,172095277.0
ARES,225518332.0
ATO,168988553.0
AVGO,4757580198.0
AVY,75788142.0
AWK,198728989.0
AXON,81237415.0
AXP,675309833.0
AZO,16325355.0
BA,790370020.0
BAC,6992748365.0
BALL,264703357.0
BAX,516995999.0
BBY,210767126.0
BDX,272386800.0
BEN,508076910.0
BF-B,458864265.0
BG,192119123.0
BIIB,147753998.0
BKNG,774878436.0
BKR,992674071.0
BLDR,107596457.0
BLK,154869259.0
BMY,2042714656.0
BNY,678504142.0
BR,115658297.0
BRK-B,2140709794.0
BRO,334610357.0
BSX,1449229526.0
BX,750625114.0
BXP,159661556.0
C,1677436783.0
CAH,232575728.0
CARR,830580423.0
CASY,37004914.0
CAT,459674889.0
CB,385799859.0
CBOE,104431019.0
CBRE,289575298.0
CCI,425455439.0
CCL,1369649119.0
CDNS,275393000.0
CDW,125017426.0
CEG,354307379.0
CF,151338130.0
CFG,421176788.0
CHD,237203907.0
CHRW,116851258.0
CHTR,119277493.0
CI,264240486.0
CIEN,141552922.0
CINF,153478045.0
CL,797172829.0
CLX,120931005.0
CMCSA,3548636573.0
CME,359579263.0
CMG,1265418000.0
CMI,137664487.0
CMS,308919602.0
CNC,493995000.0
CNP,658720288.0
COF,613500000.0
COHR,195832246.0
COIN,263836923.0
COO,195030630.0
COP,1218294007.0
COR,190827165.0
COST,443478804.0
CPAY,65659599.0
CPRT,963308388.0
CPT,115732578.0
CRH,665284511.0
CRL,47738872.0
CRM,823000000.0
CRWD,1023934842.0
CSCO,3941434665.0
CSGP,405197588.0
CSX,1852474917.0
CTAS,400169561.0
CTSH,473000000.0
CTVA,667196000.0
CVNA,719916415.0
CVS,1278970369.0
CVX,1961603274.0
D,879525949.0
DAL,657623030.0
DASH,433297937.0
DD,135042975.0
DDOG,359075024.0
DE,269625412.0
DECK,136181857.0
DELL,646142428.0
DG,220616790.0
DGX,110373360.0
DHI,279701267.0
